United States,,,,
number,Location,Code,Type,Amazon warehouse address
127,California,SCA2,,"12453 SAN PABLO AVE, RICHMOND, CA"
128,California,SCA3,,"10 N MAIN ST, MILPITAS, CA"
129,California,SCA4,,"16915 VIA DEL CAMPO, SAN DIEGO, CA"
130,California,SCA5,,"1120 EXPOSITION BLVD, SACRAMENTO, CA"
131,California,SCA6,,"3096 MCCLINTOCK AVE, LOS ANGELES, CA"
132,California,SCK1,FC,"4611 Newcastle Road, Stockton, California, 95215 , San Joaquin County"
133,California,SCK3,,"3565 N Airport Way, Manteca, California 953368696 , San Joaquin CountyAC"
134,California,SFO3,,"5250 NEWCASTLE RD, STOCKTON, CA"
135,California,SJC7,FC,"188 Mountain House Pkwy, Tracy, CA 95391"
136,California,SJC8,DC,"46724 Lakeview Blvd, Fremont, California, US"
137,California,SJC9,,"1455 valley drive, Brisbane, CA"
138,California,SLA5,,"5250 Goodman Way, Eastvale, CA"
139,California,SMF1,FC,"4900 W Elkhorn Blvd, Metro Air Park, Sacramento, CA 95835-9505"
140,California,SMF2,,"2935 Ramco St., West Sacramento, CA"
141,California,SMF3,FC,"4723 S B Street, Stockton, California, 952159446 , San Joaquin County"
142,California,SMF5,FC,"300 Crocker Dr, Vacaville, CA 95688, United States"
143,California,SMF9,,"300 Crocker Dr, Vacaville, CA"
144,California,SNA4,FC,2496 W Walnut St. Rialto CA 92376-3009
145,California,SNA6,FC,"5250 Goodman Road, Eastvale, CA 92880"
146,California,SNA7,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453"
147,California,SNA8,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453"
148,California,SNA9,FC,"5250 Goodman Road, Eastvale, CA 92880"
149,California,SUAC,SUAC,"100 S Wineville Ave, Ontario, CA"
150,California,SUAK,,"1170 Centre Drive, SUITE A, Walnut, CA"
151,California,SUAM,,"5400 Ontario Mills Parkway, Unit 400, Ontario, CA"
152,California,SUAR,,"9207 Eton Avenue Unit B, Chatsworth, CA"
153,California,SUBA,,"2215 Paseo De Las Americas, 30D, San Diego, CA"
154,California,SUBV,,"810 E 8th St, Oakland, CA"
155,California,SUBV,,"810 E 8th St, Oakland, CA"
156,California,SUFA,,"8246 W. Mineral King Ave., Visalia, CA"
157,California,SUFC,,"587 Apollo St, Brea, CA"
158,California,SUFD,,"587 Apollo St, Brea, CA"
159,California,SUHW,,"2325 Raymer Ave, Fullerton, CA"
160,California,SUJB,,"706 North Diamond Bar Blvd, Unit A, Diamond Bar, CA"
161,California,SUJF,,"100 S Wineville Ave, Ontario, CA"
162,California,SUNC,,"1113 E 230th Street, Carson, CA"
163,California,SUOK,,"437 Baldwin Park Blvd, City of Industry, CA"
164,California,SUOO,,"16792 Burke Lane, Huntington Beach, CA"
165,California,SUOQ,,"3700 Cover St, Long Beach, CA"
166,California,SUPE,,"7886 Deering Ave., Canoga Park, CA"
167,California,SUPI,,"2325 Raymer Avenue, Fullerton, CA"
168,California,SUPK,,"9851 Owensmouth Ave, Chatsworth, CA"
169,California,SUPL,,"587 Apollo St, Brea, CA"
170,California,SUSH,,"16792 Burke Lane, Huntington Beach, CA"
171,California,TBD,FC,"4532 Newcastle Rd, Stockton, CA 95215, United States"
172,California,TCA0,,"455 Valley Drive, Brisbane, CA"
173,California,TCA1,,"888 Tennessee St, San Francisco, CA"
174,California,TCA2,,"2400 Marine Avenue, Redondo Beach, CA"
175,California,TCA4,,"2006 McGaw Avenue, Irvine, CA"
176,California,TCA5,,"3334 N San Fernando Rd Bldg E, Los Angeles, CA"
177,California,TCA6,,"2727 Kurtz St, San Diego, CA"
178,California,TCA7,,"222 Commercial St, Sunnyvale, CA"
179,California,TCA9,,"2934 Ramona Ave, Sacramento, CA"
180,California,UCA1,FC,"888 Tennessee Street, San Francisco, CA 94112"
181,California,UCA2,FC,"Redondo Beach, CA 90277"
182,California,UCA3,FC,"11800 W Olympic Blvd., Los Angeles, CA 90064"
183,California,UCA4,FC,"2006 McGaw Ave., Irvine, CA 92614"
184,California,UCA5,FC,"Silver Lake, Silver Lake, CA 90001"
185,California,UCA6,FC,"2727 Kurtz St., San Diego, CA 92110"
186,California,UCA7,FC,"222 Commercial Street, Sunnyvale, CA 94085"
187,California,UCA8,FC,"3100 San Pablo Ave. Ste 120, West Berkley, CA 94702"
188,California,UCA9,FC,"2934 Ramona Avenue, Sacramento, CA 95826"
189,California,ULA1,,"635 8th St, SAN FERNANDO, CA"
190,California,ULA2,,"4278 N. Harbor Blvd., FULLERTON, CA"
191,California,USC1,,"3640 Ramos Dr, WEST SACRAMENTO, CA"
192,California,USC2,,"2400 McClellan Park Dr, SACRAMENTO, CA"
193,California,USF1,,"750 Laurelwood Road, SANTA CLARA, CA"
194,California,USF2,,"1700 Fairway Dr, SAN LEANDRO, CA"
195,California,USF3,,"1911 Lundy Ave, SAN JOSE, CA"
196,California,VUBD,FC,"17182 Nevada Avenue, Victorville, CA 92345"
197,California,VUBG,,"8365 Sultana Ave, Unit 2, Fontana, CA"
198,California,VUBH,,"9950 Calabash Ave, Fontana, CA"
199,California,VUBJ,,"1456 Harry Shepard Blvd, San Bernardino, CA"
200,California,VUGE,FC,"3450 DULLES DR, Mira Loma, CA 91752"
201,California,VUGK,,"4120 Indian Ave, Perris, CA"
202,California,VUGR,,"1565 N Mac Arthur Dr., TRACY, CA"
203,California,VUKF,FC,"18120 Bishop Ave, Carson, CA 90746"
204,California,VUKJ,,"19270 S. Western Avenue, Torrance, CA"
205,California,VUMD,,"548 W Merrill Ave, Rialto, CA"
206,California,VUMX,FC,"241 E Pacific Coast Hwy, Wilmington, CA 90744"
207,California,VUPG,,"16110 Cosmos Street, Moreno Valley, CA"
208,California,VUPQ,FC,"9211 Kaiser Way, Fontana, CA 92335"
209,California,VUPX,,"2300 W San Bernardino Ave, Redlands, CA"
210,California,VUTD,FC,"8291 Milliken Avenue, Rancho Cucomonga, CA 91730"
211,California,VUTH,,"25451 Mountain House Pkwy, TRACY, CA"
212,California,VUVB,,"2053 East Jay St, Ontario, CA"
213,California,VUWA,,"13243 Nutro Way, Victorville, CA"
214,California,VUWC,,"4700 E Nestle Purina Ave, Flagstaff, CA"
215,California,VUWE,,"736 Garner Rd, Modesto, CA"
216,California,VUWH,,"5725 Jurupa St, Ontario, CA"
217,California,XBC1,,"15750 Mountain Avenue, Chino, CA"
218,California,XBSP,,"15750 Mountain Ave, CHINO, CA"
219,California,XFI1,,"6351 Cameron Boulevard, Gilroy, CA"
220,California,XIX2,,"2020 E Central Ave, San Bernardino, CA"
221,California,XIX6,,"10681 Production Ave, Fontana, CA"
222,California,XIX7,,"555 E ORANGE SHOW RD, SAN BERNARDINO, CA"
223,California,XLAA,,"5691 E Philadelphia, Suite 100, Ontario, CA"
224,California,XLAG,,"2115 S Sinclair Ave Stockton, CA 95215"
225,California,XUSD,FC,"1909 Zephyr Street, Stockton, CA 95206"
226,California,XUSJ,FC,"1590 Tamarind Ave, Rialto, CA 92376"
227,California,XUSO,,"657 Nance Street, Perris, CA"
228,California,XUSV,FC,"2125 San Bernardino Ave, CA"
229,Colorado,DDV5,DC,"Aurora, Colorado, 80011 , Denver County"
230,Colorado,DEN1,FC,"221-189 E 144th Ave, Thornton, CO 80023, USA"
231,Colorado,DEN2,FC,"24006 East 19th Avenue, Aurora, CO 80019-3705"
232,Colorado,DEN3,FC,Grant Street Thornton CO 80023-6622
233,Colorado,DEN5,SC,"19799 E 36th Dr, Aurora, CO 80011"
234,Colorado,DEN6,FC,"480 E 55th Ave, Denver, CO 80216"
235,Colorado,DEN7,,"2230 E 26th Ave, Aurora, CO"
236,Colorado,FCO4,FC,"1437 Bannock St, Denver, CO 80202"
237,Colorado,SCO1,,"13931 E MARINA DR APT 301, AURORA, CO"
238,Colorado,SUEA,,"1821 Lefthand Circle, Unit D, Longmont, CO"
239,Colorado,SUHQ,,"4635 NAUTILUS CT S, STE D, Boulder, CO"
240,Colorado,TCO1,,"480 E 55th Avenue, Suite 100, Denver, CO"
241,Colorado,UCO1,FC,"480 E 55th Ave Suite 100, Denver, CO 80216"
242,Colorado,UCO2,,"3434 47th Street, Suite 220, Boulder, CO"
243,Colorado,XLAK,,"18875 E BROMLEY LN BRIGHTON, CO 80601"
244,Connecticut,BDL1,FC,"801 Day Hill Road Windsor, CT 06095"
245,Connecticut,BDL2,FC,"409 Washington Ave, North Haven, CT 06473"
246,Connecticut,BDL3,FC,"415 Washington Ave, Building 3, North Haven, CT 06473 , New Haven County"
247,Connecticut,BDL5,SC,"29 Research Parkway, Wallingford, CT 06492"
248,Connecticut,BLD5,SC,"BDL5 29 RESEARCH PARKWAY WALLINGFORD, CT 06492-1927 ATTN BDL5-IT DEPARTMENT"
249,Connecticut,CON1,,"40 Wilbur Cross Way, Suite 104, Mansfield, CT"
250,Connecticut,DBO3,FC,"601 Boston Post Rd, Milford, CT 6460"
251,Connecticut,DCN1,FC,"1675 Post Rd, Fairfield, CT 6824"
252,Connecticut,SUJD,,"47 Industrial Park Rd, Centerbrook, CT"
253,DC,FWA3,FC,"Healy Cir, Washington, DC 20007"
254,DC,GSE2,FC,"Healy Cir, Washington, DC 20007"
255,DC,RDC1,FC,"1 Scott Cir NW, Washington, DC 20036"
256,DC,RVA1,FC,"7213 Blair Rd NW, Washington, DC 20012"
257,Delaware,PHL1,FC,"1 Centerpoint Boulevard, New Castle, DE 19720"
258,Delaware,PHL3,FC,"1600 Johnson Way, New Castle, DE 19720"
259,Delaware,PHL7,FC,"560 Merrimac Avenue, Middletown, DE 19709-4652"
260,Delaware,PHL8,FC,"727 N. Broad Street, Middletown, DE 19709-1166"
261,Delaware,SUHC,,"18 Dixon St, Selbyville, DE"
262,Delaware,SUHS,,"18 Dixon St, Selbyville, DE"
263,Delaware,SUPP,,"230 Centerpoint BLVD, New Castle, DE"
264,Delaware,SUPQ,,"230 Centerpoint BLVD, New Castle, DE"
265,Florida,CFL1,,"4225 East Plaza Drive, Orlando, FL"
266,Florida,DJA1,FC,"11084 Cabot Commerce Circle, Jacksonville, FL 32226"
267,Florida,DJX1,FC,"21 E Union St, Jacksonville, FL 32202"
268,Florida,DM01,FC,"Tangelo Park, Orlando, FL 32189"
269,Florida,DM11,FC,"15600 NW 15th Ave., Miami Gardens, FL 33169"
270,Florida,DMI2,FC,"3200 Northwest 67th Avenue, Miami, FL 33122"
271,Florida,DMI3,FC,"3966 NW 65th Ave, Virginia Gardens, FL 33166"
272,Florida,DMO1,FC,"4917 Anzio St, Orlando, FL 32819"
273,Florida,DSR1,FC,"2000 Main St, Sarasota, FL 34237"
274,Florida,DTP1,FC,"108 W Brandon Blvd, Brandon, FL 33511"
275,Florida,DTP2,FC,"1868-1950 Beach Dr SE, St. Petersburg, FL 33705"
276,Florida,FFL1,FC,"820 NW 41st St, Doral, FL 33178"
277,Florida,FFL2,FC,"1201-1211 Brickell Ave, Miami, FL 33131"
278,Florida,FMI3,FC,"3966 NW 65th Ave, Virginia Gardens, FL 33166"
279,Florida,JAX1,FC,"12900 Pecan Park Road, Jacksonville, FL 32218"
280,Florida,JAX2,FC,"12900 Pecan Park Rd., Jacksonville, FL 32218-2432"
281,Florida,JAX5,SC,"4948 Bulls Bay Hwy, Jacksonville, FL 32219-3235"
282,Florida,JAX6,,"2619 IGNITION DR, JACKSONVILLE, FL"
283,Florida,LAL1,FC,"1760 County Line Road, Lakeland, FL 33811"
284,Florida,MC05,FC,"305 Deen Still Road, Davenport, FL 33897"
285,Florida,MCO1,FC,"12340 Boggy Creek Rd, Orlando, FL 32824, United States"
286,Florida,MCO2,,"2170 State Road 472, ORANGE CITY, FL"
287,Florida,MCO5,SC,"305 Deen Still Rd Davenport, FL 33897-9409"
288,Florida,MCO6,,"7469 Kingspointe Parkway, Orlando, FL"
289,Florida,MIA1,FC,"14000 NW 37th Ave, Opa Locka, FL 33054-6324"
290,Florida,MIA5,SC,"1900 NW 132nd Place, Doral, FL, 33182"
291,Florida,MIA6,FC,"3200 NW 67th Avenue, Miami, FL 33122"
292,Florida,MIA7,,"1900 NW 132nd Place, Miami, FL"
293,Florida,PFL1,FC,"1001 13th Avenue East, Bradenton, FL 34208"
294,Florida,PFL2,,"8060 State Rd 33 North, Lakeland, FL"
295,Florida,RFL1,FC,"1201-1211 Brickell Ave, Miami, FL 33131"
296,Florida,RFL3,FC,"500 E Zack St, Tampa, FL 33602"
297,Florida,RFL4,FC,"2-50 W South St, Orlando, FL 32801"
298,Florida,RMI1,FC,"8855 SW 50th Terrace, Miami, FL 33165"
299,Florida,SFL1,Logistics Center,"7469 Kingspointe Parkway, Orlando, FL 32819 – Orange County"
300,Florida,SFL2,,"18421 NW 67TH AVE, HIALEAH, FL"
301,Florida,SFL3,,"2581 WHITFIELD AVE, SARASOTA, FL"
302,Florida,SUAQ,,"8870 Boggy Creek Rd, Orlando, FL"
303,Florida,SUAV,,"8870 Boggy Creek Rd, Orlando, FL"
304,Florida,SUAW,,"8870 Boggy Creek Rd, Orlando, FL"
305,Florida,SUBI,,"2213 VISTA PKWY, suite 8, West Palm Beach, FL"
306,Florida,SUBT,,"7070 NW 75th St, Parkland, FL"
307,Florida,SUBU,,"2213 VISTA PKWY, Suite 8, West Palm Beach, FL"
308,Florida,SUJA,,"325 NW 28TH ST, Miami, FL"
309,Florida,SUJC,,"325 NW 28TH ST, Miami, FL"
310,Florida,SUOD,FC,"121 Kelsey Ln, Tampa, FL 33619"
311,Florida,SUPD,,"8320 Baycenter Rd, Jacksonville, FL"
312,Florida,TFL2,,"101 NE 23rd Street, Miami, FL"
313,Florida,TFL3,,"4430 E ADAMO DR, STE 305, Tampa, FL"
314,Florida,TFL4,,"7469 Kingspointe Parkway, ORLANDO, FL"
315,Florida,TPA1,FC,"351 30th Street NE, Ruskin, FL 33570"
316,Florida,TPA2,FC,"1760 County Line Road, Lakeland, FL 33811"
